Id tarjeta,Fecha,Pais,Importe
182,15/2/2024,Mexico,1
497,15/11/2023,Brasil,371
498,16/3/2023,Mexico,577
166,26/12/2026,Mexico,542
81,3/9/2025,Japon,311
174,2/12/2024,Mexico,356
451,8/10/2023,Francia,159
244,2/3/2025,Brasil,500
463,7/3/2026,Brasil,121
332,20/2/2023,Japon,350
442,28/1/2025,Mexico,96
557,25/2/2023,USA,9
77,14/8/2026,Brasil,30
147,1/10/2024,Brasil,503
110,25/12/2023,Francia,429
175,6/3/2025,Japon,389
222,1/5/2023,Brasil,260
247,20/2/2023,USA,436
568,26/6/2025,USA,53
322,22/5/2025,Brasil,239
376,19/3/2025,Brasil,140
15,7/10/2026,Mexico,377
222,3/9/2023,USA,78
326,20/2/2024,Mexico,305
113,29/7/2023,USA,282
91,26/10/2024,Mexico,375
78,1/7/2025,USA,555
221,28/8/2023,Brasil,40
527,14/10/2023,Brasil,389
260,18/12/2025,Japon,469
258,25/4/2025,USA,170
21,3/2/2026,Brasil,530
164,31/5/2023,Brasil,18
360,6/5/2023,USA,236
286,18/9/2026,Mexico,78
527,7/6/2024,USA,277
243,27/8/2025,Japon,204
176,7/8/2025,Francia,576
160,4/10/2025,Francia,379
52,19/11/2026,Japon,396
77,7/9/2024,USA,224
240,16/4/2024,Francia,97
499,22/6/2023,Francia,451
555,24/4/2023,Mexico,382
248,10/8/2024,USA,407
250,22/1/2026,Japon,344
240,17/9/2025,Brasil,145
57,27/6/2023,Mexico,366
459,24/12/2026,Francia,24
511,19/9/2023,Brasil,277
271,3/11/2024,Brasil,552
170,31/8/2024,Brasil,543
562,14/3/2023,Japon,82
521,28/9/2024,Japon,231
22,15/9/2024,USA,507
277,16/8/2026,Francia,129
159,22/4/2026,Brasil,423
105,12/8/2024,Francia,120
143,27/10/2025,USA,124
76,12/2/2025,Japon,36
115,20/12/2023,Mexico,110
138,10/6/2026,Brasil,523
431,28/2/2025,Francia,570
202,9/11/2025,Francia,462
86,6/11/2024,Francia,112
73,9/5/2024,USA,514
114,3/9/2024,Mexico,365
110,5/9/2024,Mexico,575
285,18/5/2024,Brasil,312
206,27/11/2026,Brasil,478
66,30/11/2024,Brasil,357
289,10/8/2023,Brasil,101
309,21/2/2026,USA,542
286,26/12/2024,Brasil,41
44,19/8/2026,Mexico,497
202,2/2/2023,Francia,173
29,25/12/2026,Japon,28
213,7/2/2023,Brasil,488
112,7/4/2024,USA,25
104,16/1/2023,Japon,91
201,13/2/2023,USA,377
15,31/7/2025,USA,313
345,16/10/2024,Mexico,213
136,19/3/2024,Mexico,232
550,12/7/2025,Brasil,251
3,18/3/2025,Francia,518
564,25/12/2023,Francia,1
106,26/11/2025,USA,255
440,18/5/2026,Francia,294
256,28/2/2025,Mexico,426
30,13/7/2025,Japon,437
315,14/8/2026,Francia,355
472,29/9/2023,Japon,492
564,3/11/2024,Japon,455
345,20/2/2024,USA,548
222,23/8/2024,Japon,270
6,28/8/2025,Mexico,390
549,10/5/2025,USA,268
61,23/11/2025,Brasil,540
509,18/1/2025,Mexico,163
559,5/7/2023,Brasil,191
344,11/4/2026,USA,6
242,13/10/2023,Japon,344
41,8/10/2024,Brasil,180
194,26/2/2025,Mexico,527
271,29/6/2023,Brasil,19
67,30/4/2025,Brasil,428
62,13/9/2024,Mexico,213
516,23/7/2024,Francia,380
344,8/5/2024,Japon,208
560,28/8/2023,USA,96
261,13/4/2026,Brasil,375
43,6/7/2023,Brasil,480
152,10/7/2025,Brasil,491
189,11/3/2023,Brasil,537
371,1/7/2024,Francia,554
94,2/6/2026,Francia,315
145,1/12/2024,USA,220
151,1/8/2026,Francia,536
162,13/7/2024,USA,129
227,19/6/2025,Japon,571
544,17/6/2023,USA,573
211,27/10/2025,USA,171
132,15/8/2024,Mexico,546
295,21/2/2023,USA,301
193,16/2/2026,Francia,340
501,4/11/2025,USA,375
264,11/6/2026,Japon,340
436,26/10/2023,Francia,10
74,27/2/2026,Japon,564
11,5/10/2025,Japon,74
155,15/5/2026,Francia,206
313,25/8/2024,Japon,362
451,19/7/2024,Japon,32
392,10/11/2023,Francia,321
41,30/4/2026,Brasil,344
202,30/3/2024,USA,510
264,26/8/2026,Brasil,438
511,28/6/2026,Mexico,179
7,24/4/2025,Francia,295
257,21/2/2024,Brasil,57
72,17/12/2025,USA,539
137,15/11/2023,Mexico,293
142,15/9/2025,Japon,168
552,23/12/2025,USA,445
87,8/6/2026,USA,496
18,9/9/2025,Japon,41
356,16/8/2025,USA,228
467,17/1/2025,Francia,524
482,8/3/2023,Mexico,214
200,30/5/2023,Francia,525
303,9/4/2023,Brasil,191
183,10/6/2024,Brasil,63
154,22/4/2023,Mexico,324
126,24/7/2026,Francia,468
331,5/7/2023,Japon,534
149,5/7/2025,USA,341
507,28/12/2023,USA,365
460,11/2/2023,Francia,186
325,19/8/2025,Francia,382
57,2/7/2026,Brasil,300
361,26/7/2026,Mexico,292
325,27/7/2026,Brasil,72
29,16/6/2026,Brasil,163
313,26/8/2023,Brasil,402
410,22/10/2023,Japon,494
249,19/9/2024,Francia,366
495,1/3/2025,Francia,201
232,8/7/2026,Francia,49
19,11/12/2026,Francia,251
130,21/5/2023,Mexico,128
493,7/12/2023,Francia,419
287,3/5/2025,USA,194
279,6/9/2024,Mexico,419
4,13/10/2025,Francia,205
126,1/5/2024,Brasil,241
435,21/1/2025,USA,501
395,18/12/2023,Francia,210
280,28/4/2026,Francia,159
63,20/9/2024,USA,543
276,12/7/2024,Mexico,423
112,23/12/2024,Japon,477
446,5/4/2023,Francia,159
441,30/9/2024,USA,355
92,4/5/2024,USA,68
155,7/10/2023,Japon,346
96,20/5/2026,Mexico,530
389,23/8/2026,Japon,306
167,30/7/2023,Mexico,328
312,1/12/2025,Mexico,319
460,18/11/2023,Brasil,492
460,26/8/2023,Francia,58
525,13/11/2025,Francia,281
81,20/1/2023,USA,286
482,11/5/2026,USA,306
29,25/12/2023,Francia,273
187,1/1/2023,USA,224
457,6/7/2026,Japon,234
576,4/9/2026,Mexico,538
319,9/6/2025,Francia,564
119,26/6/2024,Brasil,140
349,22/6/2023,USA,201
62,22/10/2025,Mexico,163
433,22/9/2023,Francia,2
330,20/11/2024,Mexico,140
563,5/1/2023,Francia,372
237,31/8/2026,Francia,547
348,24/11/2024,USA,57
285,23/9/2025,Brasil,49
327,9/4/2025,USA,10
404,10/6/2025,Mexico,122
63,2/3/2024,USA,58
229,10/5/2024,Francia,62
23,30/1/2026,Francia,167
129,6/9/2023,Francia,440
396,20/6/2024,Brasil,59
501,19/9/2024,USA,31
527,17/10/2025,Brasil,392
149,1/8/2026,Brasil,411
387,8/5/2025,Francia,469
132,14/11/2025,Francia,509
217,31/3/2025,USA,224
110,26/1/2023,Brasil,270
335,31/3/2023,Japon,293
380,3/3/2024,Japon,301
523,5/7/2025,USA,320
323,18/2/2024,Brasil,347
92,20/10/2025,Japon,390
205,20/5/2025,Japon,46
199,12/10/2026,Mexico,356
458,14/11/2026,Mexico,228
272,11/6/2023,Japon,512
479,10/5/2024,Brasil,284
91,23/12/2024,Mexico,160
190,9/4/2025,Japon,577
38,5/6/2023,Mexico,559
152,8/1/2023,Francia,430
132,26/3/2026,Mexico,205
434,28/3/2023,Japon,251
175,28/5/2024,Japon,416
422,12/1/2023,Francia,124
155,14/11/2025,Francia,385
494,22/9/2023,Brasil,543
309,31/1/2025,Brasil,217
364,4/11/2024,Japon,327
271,9/4/2025,Mexico,69
110,19/11/2026,USA,229
557,2/1/2025,Brasil,174
325,2/4/2023,Brasil,478
14,23/4/2024,Francia,175
58,23/6/2023,Brasil,283
466,14/2/2024,Mexico,495
156,12/11/2024,Francia,528
38,17/12/2026,Japon,13
279,2/9/2023,Brasil,441
241,19/4/2026,Mexico,285
231,12/7/2024,USA,537
36,18/7/2026,Japon,317
111,31/3/2025,Japon,226
126,21/5/2025,USA,70
301,12/8/2023,Brasil,385
369,14/5/2025,USA,324
181,3/6/2024,Mexico,559
182,21/2/2023,Francia,434
99,20/8/2024,Brasil,557
455,12/3/2023,USA,233
518,11/1/2025,Francia,164
42,5/8/2025,USA,248
228,19/6/2026,Francia,534
515,8/4/2023,Mexico,556
559,28/3/2026,Japon,71
114,24/4/2026,USA,255
307,18/9/2025,USA,513
63,13/4/2024,Japon,553
468,28/5/2024,USA,294
556,10/12/2025,Mexico,113
362,13/4/2026,Mexico,9
238,5/9/2026,Japon,348
442,11/3/2025,Brasil,529
7,18/4/2024,Mexico,464
299,28/2/2023,Francia,291
276,18/9/2025,USA,467
184,27/1/2023,Brasil,516
115,11/5/2026,Mexico,581
492,5/2/2023,USA,149
115,1/1/2025,Japon,421
481,24/10/2024,Mexico,23
461,11/9/2024,Brasil,558
164,26/11/2024,USA,421
204,28/6/2026,Mexico,439
494,8/11/2026,Mexico,330
161,2/12/2024,Brasil,448
305,23/3/2025,Brasil,528
546,1/6/2025,Brasil,551
74,30/11/2024,Francia,43
81,1/12/2023,Francia,335
348,19/6/2025,Japon,369
432,22/2/2023,Brasil,487
252,2/10/2024,USA,416
534,23/3/2025,Brasil,170
180,2/3/2025,Japon,271
309,19/3/2024,Mexico,401
56,3/5/2023,USA,128
577,6/3/2024,Mexico,146
135,9/4/2026,Brasil,82
544,16/4/2025,Francia,471
438,27/7/2024,Japon,280
440,25/8/2026,USA,35
265,29/5/2025,Francia,414
155,29/5/2026,Mexico,211
285,13/9/2024,Brasil,112
84,14/3/2023,Japon,4
319,5/12/2024,USA,417
547,25/5/2025,Francia,149
341,10/9/2024,USA,175
135,24/7/2023,Mexico,290
281,22/9/2025,Francia,123
197,30/4/2025,Brasil,16
383,15/1/2025,Francia,256
83,15/7/2023,Mexico,165
403,7/10/2024,Brasil,567
154,27/3/2024,Japon,495
487,2/4/2023,USA,126
267,22/12/2023,Francia,60
66,27/6/2026,Francia,150
137,7/1/2026,Brasil,291
156,22/1/2023,Mexico,215
141,1/2/2025,Francia,27
303,12/4/2023,USA,519
176,29/11/2024,Mexico,126
264,3/10/2023,USA,187
59,29/2/2024,Francia,152
158,7/8/2025,Mexico,344
469,21/5/2025,Brasil,271
439,19/9/2025,Francia,216
350,2/7/2026,USA,255
512,3/11/2026,Brasil,224
518,3/7/2025,Mexico,355
120,14/3/2025,USA,328
24,27/12/2024,Francia,371
141,16/6/2024,Brasil,483
120,7/4/2023,Brasil,323
582,22/4/2026,Mexico,114
367,25/7/2024,Mexico,471
568,18/2/2025,Brasil,495
251,3/7/2026,USA,356
506,19/8/2025,Brasil,132
386,7/7/2026,Francia,266
339,11/12/2026,USA,516
371,20/9/2026,USA,415
558,2/2/2024,Brasil,490
246,4/1/2026,Japon,268
388,18/4/2023,Japon,260
217,23/11/2025,Japon,291
23,28/2/2026,Brasil,516
72,24/5/2024,Japon,468
66,27/1/2024,Francia,504
166,9/11/2025,Japon,495
466,26/10/2026,USA,398
322,2/8/2024,Francia,13
511,17/10/2025,Japon,26
35,4/3/2025,USA,505
500,29/3/2025,Japon,471
582,22/10/2023,Brasil,579
439,23/8/2023,Mexico,128
164,11/10/2023,USA,481
145,31/7/2025,Francia,265
281,19/4/2023,Francia,272
349,30/6/2023,Japon,22
188,1/12/2026,Francia,109
67,22/9/2023,Francia,562
273,24/9/2024,USA,303
413,30/6/2026,Brasil,42
329,17/6/2025,Japon,458
494,5/9/2026,Japon,124
503,23/4/2023,Japon,473
417,14/8/2026,Francia,500
519,14/8/2026,Japon,489
402,15/3/2024,Francia,270
255,8/11/2025,USA,370
285,26/2/2024,USA,296
148,4/9/2025,Japon,479
293,29/12/2023,Mexico,254
303,12/8/2026,USA,235
91,11/3/2024,USA,97
437,21/10/2023,Japon,448
6,6/2/2024,USA,99
42,16/6/2024,USA,333
250,24/11/2023,Brasil,78
60,16/12/2023,USA,92
582,19/7/2026,Japon,418
183,29/7/2025,Mexico,402
252,10/3/2023,Francia,514
501,29/1/2025,USA,367
190,18/9/2024,USA,366
9,26/2/2024,Mexico,500
100,30/8/2024,Japon,342
514,25/6/2025,USA,337
156,26/6/2026,Japon,51
77,5/1/2023,Brasil,229
43,27/8/2025,USA,22
386,23/12/2023,Francia,329
347,24/12/2025,Japon,165
495,24/11/2024,Francia,144
429,1/2/2025,Brasil,229
287,26/10/2023,USA,555
190,30/12/2023,Mexico,448
393,13/1/2026,Mexico,329
508,17/1/2023,Mexico,535
253,25/8/2024,Brasil,225
211,17/5/2024,USA,204
489,13/8/2024,Japon,33
164,14/12/2025,Japon,167
551,15/4/2026,USA,553
169,3/4/2023,Francia,244
29,15/8/2024,Japon,178
195,10/1/2025,Brasil,185
87,4/7/2024,Japon,436
333,21/12/2023,Mexico,312
398,6/8/2024,Japon,78
453,19/12/2023,Brasil,319
82,26/11/2025,Mexico,384
523,2/11/2024,USA,275
534,31/3/2023,Mexico,422
66,18/8/2026,Brasil,508
336,25/2/2026,Francia,345
277,30/6/2025,Mexico,161
435,28/3/2024,Francia,184
359,26/4/2024,Francia,448
436,8/12/2024,Japon,46
209,4/3/2024,Japon,376
418,8/7/2026,USA,108
340,30/10/2024,USA,99
124,6/3/2023,Francia,431
360,3/8/2023,USA,437
292,19/5/2024,Mexico,216
87,1/1/2025,Brasil,15
211,3/9/2026,USA,127
397,27/12/2026,Japon,76
269,1/7/2024,Brasil,286
369,3/1/2026,Francia,277
312,18/2/2025,USA,452
210,6/4/2025,Japon,302
484,21/9/2025,Brasil,333
289,25/1/2025,Japon,421
224,25/5/2025,Mexico,87
508,28/10/2025,USA,115
447,9/8/2024,Japon,33
300,18/2/2024,Francia,3
388,25/7/2025,Japon,105
467,12/4/2026,USA,333
345,22/11/2025,Japon,223
323,22/6/2026,Brasil,2
311,29/9/2025,Francia,500
218,12/12/2023,Francia,485
11,26/11/2026,Japon,248
312,11/4/2023,Japon,413
286,14/6/2025,USA,76
152,5/12/2026,Francia,351
281,25/1/2026,Japon,187
465,11/3/2026,USA,286
455,1/4/2024,Mexico,381
157,26/1/2026,Brasil,523
95,11/10/2026,Japon,455
467,25/11/2025,Mexico,530
9,3/12/2026,Japon,125
495,11/7/2023,Mexico,332
572,9/4/2023,Francia,545
75,25/9/2023,Francia,329
170,24/10/2023,Mexico,274
145,29/6/2026,USA,167
102,3/6/2024,Brasil,52
180,22/2/2026,USA,2
158,23/3/2025,Mexico,416
331,1/9/2023,Brasil,267
183,1/3/2025,Mexico,475
222,28/10/2023,Mexico,155
172,19/9/2025,Francia,392
451,23/5/2023,Brasil,136
273,29/9/2024,Brasil,166
398,24/12/2026,Japon,409
535,1/10/2024,USA,293
111,19/1/2026,Brasil,83
87,11/6/2025,Mexico,417
457,15/2/2025,Mexico,363
432,19/6/2026,Francia,553
337,19/6/2026,Francia,505
475,1/8/2026,Francia,391
210,13/5/2025,Mexico,490
346,4/4/2024,Japon,432
147,2/7/2024,Brasil,256
415,18/3/2026,Mexico,221
147,18/10/2024,Mexico,453
39,13/4/2026,Mexico,123
442,14/5/2026,Francia,202
192,8/5/2026,Brasil,180
103,28/12/2023,Francia,234
520,15/8/2023,Japon,372
135,17/7/2026,Japon,344
255,12/4/2023,USA,316
139,17/11/2024,Mexico,174
319,16/10/2025,Mexico,507
443,27/1/2026,Brasil,215
13,12/1/2026,Mexico,310
53,31/5/2025,Japon,344
282,22/11/2024,Francia,472
572,23/11/2023,USA,34
89,15/2/2023,USA,313
476,2/11/2024,Francia,223
526,29/8/2023,USA,193
45,22/10/2026,Japon,521
558,23/2/2024,Francia,434
176,29/4/2026,Mexico,272
213,5/7/2023,Brasil,357
358,17/4/2026,USA,503
47,22/10/2023,Francia,373
528,24/7/2023,USA,177
197,8/5/2023,Mexico,7
264,17/2/2025,Mexico,442
362,3/10/2025,Japon,285
209,6/12/2025,Japon,407
185,7/1/2026,Japon,54
69,24/4/2025,Mexico,519
478,28/6/2024,USA,37
150,2/4/2023,Japon,119
559,18/6/2024,Brasil,130
91,14/11/2024,Francia,368
368,11/12/2024,Francia,538
349,19/1/2024,Mexico,118
176,5/7/2023,USA,467
345,8/4/2023,Japon,371
579,20/4/2026,Francia,411
40,25/6/2026,Brasil,437
441,14/8/2023,Mexico,253
104,5/6/2024,Brasil,366
575,31/1/2025,USA,195
126,31/1/2023,Francia,157
26,20/9/2026,USA,80
481,21/7/2026,Mexico,163
503,10/5/2025,Japon,267
406,1/11/2025,Brasil,195
419,10/5/2025,Brasil,60
476,17/4/2026,USA,561
105,27/8/2026,Mexico,288
238,25/1/2026,USA,299
484,14/3/2026,USA,398
100,8/4/2024,Mexico,280
504,5/6/2026,Japon,574
338,3/3/2025,Brasil,581
184,27/3/2023,Mexico,317
430,16/8/2024,Brasil,186
276,9/12/2023,Brasil,267
511,5/12/2024,Francia,313
425,2/4/2023,USA,245
157,28/11/2025,Brasil,449
236,18/2/2024,Japon,295
482,29/10/2026,Mexico,509
308,16/10/2025,Francia,323
173,25/10/2023,Francia,324
215,11/1/2026,Mexico,537
84,25/1/2024,Brasil,346
470,13/12/2025,Mexico,360
138,16/7/2026,Mexico,195
133,12/8/2025,USA,160
470,1/12/2025,Mexico,334
362,6/10/2023,Brasil,263
316,6/1/2023,Mexico,554
383,21/10/2024,Japon,148
498,19/12/2026,Mexico,422
140,16/2/2026,Japon,94
98,21/1/2025,Brasil,77
120,28/1/2024,Francia,537
372,24/3/2026,USA,78
256,15/1/2025,Mexico,167
203,9/4/2025,Francia,419
299,28/11/2023,Brasil,288
438,9/9/2026,Brasil,363
213,24/9/2024,Mexico,145
412,8/10/2026,Mexico,131
97,3/7/2025,Mexico,294
214,2/11/2023,Francia,142
582,16/8/2023,Brasil,385
23,21/12/2026,Francia,20
15,14/3/2023,Mexico,163
400,19/7/2025,Mexico,463
345,4/6/2025,Mexico,455
250,12/3/2024,USA,509
37,26/6/2026,USA,25
172,4/8/2026,Japon,331
299,4/9/2025,Francia,325
238,16/3/2023,USA,474
377,21/10/2026,Mexico,394
422,26/1/2024,Mexico,505
552,30/4/2026,Mexico,182
446,23/4/2026,Brasil,102
3,11/10/2024,USA,385
55,21/1/2024,Francia,170
15,27/1/2026,USA,236
458,12/9/2024,USA,563
437,13/11/2025,USA,440
145,25/11/2023,Brasil,27
528,8/5/2026,Mexico,495
145,21/12/2023,Francia,275
178,9/5/2025,Brasil,375
190,14/10/2026,USA,316
495,28/11/2026,Mexico,195
565,4/2/2023,Brasil,128
12,20/10/2024,Japon,389
184,9/1/2025,Mexico,44
1,9/2/2024,Francia,345
57,17/10/2023,Japon,378
436,7/5/2023,Japon,572
67,14/10/2025,Brasil,133
397,19/11/2023,Japon,433
23,3/5/2024,Japon,273
163,24/6/2023,Francia,557
389,14/1/2025,Mexico,537
324,14/7/2025,Francia,465
231,10/5/2023,Francia,112
539,22/3/2026,Brasil,529
49,26/9/2025,Mexico,157
59,24/3/2024,Japon,462
19,1/9/2025,USA,135
352,24/12/2025,Brasil,310
30,4/4/2026,Japon,254
543,7/6/2026,Japon,510
264,9/7/2025,USA,74
27,27/12/2026,USA,472
228,30/10/2025,Mexico,384
313,30/12/2025,Mexico,556
491,9/11/2023,Japon,450
403,9/1/2025,USA,145
479,11/9/2026,Japon,449
31,24/3/2024,Brasil,368
250,10/9/2024,USA,238
146,2/3/2023,Japon,481
284,20/1/2026,USA,15
279,8/4/2023,Japon,382
357,27/9/2026,Mexico,31
163,24/2/2026,Brasil,44
212,4/12/2024,Brasil,281
38,10/6/2025,Brasil,478
578,12/7/2024,Mexico,46
14,22/11/2024,Mexico,425
484,10/5/2023,Brasil,512
504,7/5/2026,Brasil,293
337,17/7/2024,Francia,50
539,24/11/2026,Francia,471
578,18/7/2025,Japon,556
451,28/10/2025,Mexico,206
428,31/5/2024,Mexico,562
529,20/4/2024,Japon,191
559,9/2/2026,Mexico,248
523,19/7/2024,Mexico,263
539,28/1/2026,Mexico,426
68,27/10/2025,USA,437
43,4/11/2025,Francia,385
292,3/11/2026,Francia,273
299,2/11/2025,Mexico,36
580,12/2/2023,Francia,201
97,24/3/2026,Mexico,40
418,1/5/2026,Brasil,426
318,24/2/2023,Mexico,481
292,19/11/2024,Brasil,570
197,27/3/2024,Brasil,381
62,2/8/2024,USA,405
239,25/7/2024,Mexico,265
127,22/4/2026,Japon,52
377,2/4/2024,USA,247
179,30/8/2025,Mexico,530
541,3/2/2025,Japon,294
579,26/7/2025,Japon,492
499,24/3/2026,Francia,297
77,30/8/2024,Mexico,211
189,7/6/2025,USA,10
576,20/6/2026,USA,271
308,2/12/2026,Francia,12
391,15/1/2023,Francia,319
192,24/4/2026,Mexico,385
363,1/7/2026,USA,379
543,26/9/2023,Francia,89
252,23/8/2026,USA,63
562,5/10/2025,USA,524
522,15/6/2023,Mexico,458
337,17/7/2023,Brasil,151
83,4/7/2023,USA,563
577,2/11/2025,Mexico,263
397,27/5/2026,USA,424
412,2/10/2026,Francia,107
364,22/11/2026,Brasil,245
466,24/4/2024,Mexico,198
384,12/10/2023,Francia,551
534,10/12/2025,Francia,197
53,23/5/2025,Brasil,385
498,2/11/2026,USA,2
84,24/2/2025,Brasil,166
581,21/5/2024,Brasil,21
566,20/7/2023,USA,495
365,16/3/2024,USA,80
103,9/7/2024,Brasil,495
264,17/2/2024,USA,8
433,18/3/2023,USA,530
360,19/4/2025,USA,568
534,9/12/2025,Mexico,14
17,28/2/2023,Mexico,220
407,24/1/2026,USA,97
219,28/2/2026,Brasil,152
439,1/5/2026,Francia,275
449,19/6/2024,Mexico,416
376,18/8/2023,Francia,61
165,22/10/2024,Francia,435
131,29/5/2024,Mexico,283
206,14/3/2026,Francia,509
274,26/9/2025,Mexico,119
284,4/1/2026,Japon,389
521,13/5/2025,Francia,190
104,30/11/2024,Mexico,527
519,20/12/2026,USA,259
284,20/6/2023,Brasil,415
402,20/12/2025,Brasil,424
294,17/1/2026,USA,447
408,7/9/2023,Brasil,371
114,28/12/2023,Japon,71
109,13/9/2025,Brasil,371
81,12/4/2024,Francia,468
127,27/11/2023,Francia,383
313,27/2/2025,USA,280
560,29/6/2024,Brasil,17
218,22/10/2025,Brasil,24
554,7/9/2023,Mexico,419
530,22/5/2026,Japon,150
459,12/10/2024,Japon,200
449,10/12/2024,Francia,363
448,23/8/2024,Japon,21
575,14/5/2024,Francia,220
70,5/10/2025,Brasil,550
350,4/12/2023,Japon,462
331,30/5/2023,Brasil,432
501,22/12/2025,USA,431
534,15/2/2023,Mexico,280
30,6/4/2023,USA,298
550,11/2/2024,Brasil,397
69,26/1/2025,USA,261
426,23/3/2025,Mexico,318
503,23/4/2025,Brasil,195
264,3/4/2026,USA,516
256,23/2/2026,USA,323
119,25/8/2024,Mexico,535
399,15/11/2025,Mexico,427
468,16/12/2023,Japon,154
244,6/11/2025,Japon,279
48,21/4/2026,USA,507
549,20/3/2023,Brasil,162
140,21/2/2025,Japon,424
111,29/5/2024,USA,244
367,28/2/2023,Mexico,543
338,16/4/2024,Francia,572
319,24/8/2024,Mexico,283
478,27/3/2025,Brasil,471
538,15/10/2023,Francia,116
42,13/3/2023,Brasil,565
274,30/6/2024,USA,154
249,7/8/2023,Francia,502
522,9/1/2026,Mexico,64
247,16/2/2023,USA,340
23,22/11/2026,USA,466
90,11/2/2026,Mexico,190
491,22/12/2026,USA,307
143,15/6/2023,Brasil,407
174,10/11/2025,Brasil,533
247,24/8/2023,Japon,504
259,28/10/2023,Japon,161
532,5/2/2023,Mexico,69
340,15/10/2026,Mexico,275
334,1/6/2026,Japon,505
432,4/5/2026,Brasil,331
254,31/5/2026,USA,287
99,18/2/2025,USA,182
549,16/8/2023,Francia,177
463,4/4/2026,Japon,66
307,19/6/2026,USA,217
310,18/11/2023,Japon,426
176,15/2/2025,Brasil,118
485,1/5/2023,Japon,370
566,14/8/2024,Francia,311
438,4/5/2025,Brasil,293
100,10/3/2025,Brasil,487
136,27/3/2024,Francia,124
247,24/3/2023,Japon,132
107,23/7/2026,Brasil,140
576,5/9/2023,USA,395
548,16/11/2026,USA,520
513,22/8/2025,Mexico,479
509,25/9/2024,Brasil,502
149,7/1/2025,Japon,273
53,4/6/2026,Brasil,468
253,19/7/2023,Mexico,427
80,6/5/2025,Francia,348
541,21/6/2023,Francia,241
291,3/3/2025,Mexico,54
200,2/7/2023,Brasil,99
412,25/12/2026,Japon,381
547,25/2/2026,USA,278
477,15/4/2026,Brasil,531
60,31/3/2023,Mexico,64
427,30/1/2024,Mexico,206
403,8/9/2024,Brasil,382
493,12/4/2025,Japon,30
180,26/1/2025,Japon,138
300,13/6/2026,Brasil,431
114,4/12/2026,Francia,384
549,24/9/2023,Mexico,109
486,26/1/2025,Japon,466
437,28/5/2023,Mexico,400
63,14/6/2023,Mexico,35
298,19/10/2023,Mexico,50
562,1/2/2024,USA,298
111,20/11/2026,Francia,189
510,19/11/2024,Mexico,231
399,19/1/2025,Japon,273
507,22/10/2025,Mexico,98
540,27/2/2026,Mexico,507
273,3/12/2025,Japon,56
323,15/1/2025,Japon,464
314,26/4/2023,USA,269
